onset	duration	trial_type	accuracy	response_time
8.45	2	remov	0	0
13.383	2	rest	n/a	n/a
24.517	2	remov	0	0
29.2	2	rest	n/a	n/a
39.167	2	maint	1	1.894
44.151	2	rest	n/a	n/a
54.884	2	remov	0	0
60.434	2	rest	n/a	n/a
71.685	2	maint	0	0
76.902	2	rest	n/a	n/a
86.785	2	remov	1	1.269
90.719	2	rest	n/a	n/a
100.802	2	encod	0	0
105.886	2	rest	n/a	n/a
117.203	2	maint	1	1.609
122.153	2	rest	n/a	n/a
132.686	2	encod	0	0
138.136	2	rest	n/a	n/a
148.487	2	remov	1	1.76
153.704	2	rest	n/a	n/a
163.37	2	remov	0	0
168.771	2	rest	n/a	n/a
179.538	2	encod	0	0
185.088	2	rest	n/a	n/a
195.655	2	maint	0	0
200.271	2	rest	n/a	n/a
211.555	2	encod	0	1.81
216.655	2	rest	n/a	n/a
227.539	2	remov	0	0
232.306	2	rest	n/a	n/a
242.822	2	remov	0	0
247.856	2	rest	n/a	n/a
258.873	2	encod	1	1.245
263.406	2	rest	n/a	n/a
274.073	2	encod	0	0
279.273	2	rest	n/a	n/a
289.74	2	remov	1	1.565
294.707	2	rest	n/a	n/a
305.341	2	remov	0	0
310.641	2	rest	n/a	n/a
322.024	2	encod	1	1.179
326.758	2	rest	n/a	n/a
337.525	2	encod	1	1.641
342.458	2	rest	n/a	n/a
353.542	2	maint	1	1.12
357.575	2	rest	n/a	n/a
368.409	2	remov	0	0
373.259	2	rest	n/a	n/a
383.843	2	encod	0	1.473
388.859	2	rest	n/a	n/a
399.726	2	encod	0	0
405.026	2	rest	n/a	n/a
415.543	2	remov	1	1.327
419.777	2	rest	n/a	n/a
430.444	2	maint	0	0
435.577	2	rest	n/a	n/a
445.694	2	maint	0	1.251
449.961	2	rest	n/a	n/a
460.895	2	maint	0	0
466.395	2	rest	n/a	n/a
