onset	duration	trial_type	accuracy	response_time
8.767	2	encod	1	1.143
13.083	2	rest	n/a	n/a
24.484	2	remov	1	0.976
28.284	2	rest	n/a	n/a
39.167	2	encod	1	1.028
43.617	2	rest	n/a	n/a
53.651	2	remov	1	0.763
57.384	2	rest	n/a	n/a
68.001	2	maint	1	0.992
72.085	2	rest	n/a	n/a
82.918	2	remov	1	1.019
87.002	2	rest	n/a	n/a
98.019	2	remov	1	1.176
102.436	2	rest	n/a	n/a
112.936	2	maint	1	0.744
117.003	2	rest	n/a	n/a
127.836	2	encod	0	1.069
131.586	2	rest	n/a	n/a
142.753	2	remov	1	1.158
147.053	2	rest	n/a	n/a
157.204	2	encod	1	1.049
161.437	2	rest	n/a	n/a
171.504	2	remov	1	1.55
176.621	2	rest	n/a	n/a
187.521	2	remov	1	0.839
191.654	2	rest	n/a	n/a
202.238	2	encod	1	1.386
206.938	2	rest	n/a	n/a
217.655	2	maint	1	1.237
221.905	2	rest	n/a	n/a
232.672	2	maint	1	1.402
237.122	2	rest	n/a	n/a
247.939	2	encod	1	1.15
252.572	2	rest	n/a	n/a
263.489	2	remov	1	1.085
267.523	2	rest	n/a	n/a
277.856	2	remov	0	1.707
282.973	2	rest	n/a	n/a
293.057	2	remov	1	1.071
297.024	2	rest	n/a	n/a
307.174	2	maint	1	1.21
311.107	2	rest	n/a	n/a
321.124	2	remov	1	1.377
325.674	2	rest	n/a	n/a
336.141	2	encod	1	1.65
340.525	2	rest	n/a	n/a
351.375	2	maint	1	0.817
355.092	2	rest	n/a	n/a
365.209	2	maint	1	1.264
369.959	2	rest	n/a	n/a
380.842	2	encod	1	0.712
384.409	2	rest	n/a	n/a
394.676	2	remov	1	1.242
399.276	2	rest	n/a	n/a
410.66	2	remov	1	0.981
414.343	2	rest	n/a	n/a
424.96	2	encod	0	1.345
429.393	2	rest	n/a	n/a
439.96	2	remov	1	1.09
444.294	2	rest	n/a	n/a
